ID,NAME,MONTH,YEAR,RAIN,TMEAN
6,Pongola - SASRI,3,2009,6.9,23.6
6,Pongola - SASRI,4,2009,8.5,21.3
6,Pongola - SASRI,5,2009,1.1,19.8
6,Pongola - SASRI,6,2009,13.1,17.6
6,Pongola - SASRI,7,2009,0.4,15.8
6,Pongola - SASRI,8,2009,72,17.8
6,Pongola - SASRI,9,2009,8.9,20.3
6,Pongola - SASRI,10,2009,161,21.4
6,Pongola - SASRI,11,2009,83.3,21.3
6,Pongola - SASRI,12,2009,34.3,25.1
6,Pongola - SASRI,1,2010,246.3,25.1
6,Pongola - SASRI,2,2010,54.5,25.4
6,Pongola - SASRI,3,2010,128.9,24.6
6,Pongola - SASRI,4,2010,29.8,22.3
6,Pongola - SASRI,5,2010,2,20.6
6,Pongola - SASRI,6,2010,11.5,16.4
6,Pongola - SASRI,7,2010,2.3,16.9
6,Pongola - SASRI,8,2010,0,17.3
6,Pongola - SASRI,9,2010,0,21.4
6,Pongola - SASRI,10,2010,143.5,22.2
6,Pongola - SASRI,11,2010,100.9,23.4
6,Pongola - SASRI,12,2010,74.3,24.1
6,Pongola - SASRI,1,2011,140.3,25.5
6,Pongola - SASRI,2,2011,13.6,25.1
6,Pongola - SASRI,3,2011,50.1,25.6
6,Pongola - SASRI,4,2011,46.5,21.7
6,Pongola - SASRI,5,2011,8.9,19.6
6,Pongola - SASRI,6,2011,1.5,16.6
6,Pongola - SASRI,7,2011,21.2,16.5
6,Pongola - SASRI,8,2011,27.7,17.7
6,Pongola - SASRI,9,2011,20.2,21.1
6,Pongola - SASRI,10,2011,87.3,21.6
6,Pongola - SASRI,11,2011,116.9,23.6
6,Pongola - SASRI,12,2011,46.5,23.7
6,Pongola - SASRI,1,2012,76.5,25.6
6,Pongola - SASRI,2,2012,88.1,25.4
6,Pongola - SASRI,3,2012,71.3,24
6,Pongola - SASRI,4,2012,9.8,20.3
6,Pongola - SASRI,5,2012,1.6,20.1
6,Pongola - SASRI,6,2012,2.4,16.9
6,Pongola - SASRI,7,2012,0.2,16.9
6,Pongola - SASRI,8,2012,2.9,19.3
6,Pongola - SASRI,9,2012,216.7,19.8
6,Pongola - SASRI,10,2012,148.1,21.2
6,Pongola - SASRI,11,2012,73.9,22.3
6,Pongola - SASRI,12,2012,156.3,24.4
6,Pongola - SASRI,1,2013,252.4,25
6,Pongola - SASRI,2,2013,54.5,25.1
6,Pongola - SASRI,3,2013,124.9,23.5
6,Pongola - SASRI,4,2013,80.2,20.1
6,Pongola - SASRI,5,2013,24.6,17.8
6,Pongola - SASRI,6,2013,5.5,16.2
6,Pongola - SASRI,7,2013,13,15.6
6,Pongola - SASRI,8,2013,8.2,18.1
6,Pongola - SASRI,9,2013,3.4,21
6,Pongola - SASRI,10,2013,76.7,20.8
6,Pongola - SASRI,11,2013,80.1,23.8
6,Pongola - SASRI,12,2013,167.9,22.6
